日期,品牌,产品类别,产品型号,销售数量,单价(元),销售额(元),省份,城市,销售渠道,经销商
2025-04-08,小米,手机,Xiaomi 13T,3,3560,10680,河南,新乡,线下专卖店,新乡电器城
2025-04-08,小米,笔记本,RedmiBook Pro 15,12,5295,63540,陕西,西安,天猫,天猫平台
2025-04-08,华为,耳机,FreeBuds 5,2,899,1798,四川,宜宾,线下专卖店,宜宾华为专卖店
2025-04-08,小米,耳机,Redmi Buds 4 Pro,13,484,6292,广东,佛山,天猫,天猫平台
2025-04-08,vivo,耳机,TWS Air,3,216,648,福建,厦门,电器城,厦门电器城
2025-04-09,联想,平板,小新Pad Pro,1,2662,2662,重庆,重庆市,线下专卖店,重庆市电器城
2025-04-09,苹果,手机,iPhone 14,5,5173,25865,山东,烟台,电器城,烟台电器城
2025-04-10,vivo,手机,X100 Pro,12,6883,82596,山东,济南,拼多多,拼多多平台
2025-04-10,vivo,手机,X100 Pro,12,5144,61728,山东,潍坊,拼多多,拼多多平台
2025-04-10,OPPO,手机,Find X7 Ultra,15,7817,117255,上海,上海市,拼多多,拼多多平台
2025-04-10,OPPO,手机,A3,5,1624,8120,上海,上海市,电器城,上海市电器城
2025-04-10,华为,手表,Watch Ultimate,2,6163,12326,安徽,蚌埠,京东,京东平台
2025-04-10,华为,笔记本,MateBook 14,9,6135,55215,山东,潍坊,天猫,天猫平台
2025-04-11,小米,手机,Redmi K70,11,3211,35321,山东,潍坊,拼多多,拼多多平台
2025-04-11,联想,笔记本,小新Pro 16,10,5371,53710,湖南,株洲,线下专卖店,株洲电器城
2025-04-11,荣耀,手表,Watch 4,2,1197,2394,重庆,重庆市,天猫,天猫平台
2025-04-12,小米,平板,Xiaomi Pad 6,13,2219,28847,安徽,合肥,京东,京东平台
2025-04-12,小米,平板,Redmi Pad,13,1084,14092,上海,上海市,线下专卖店,上海市电器城
2025-04-12,OPPO,手表,Watch 4 Pro,8,2492,19936,陕西,宝鸡,京东,京东平台
2025-04-13,三星,手表,Galaxy Watch 6,1,2465,2465,湖北,宜昌,拼多多,拼多多平台
2025-04-14,三星,耳机,Galaxy Buds2 Pro,2,1299,2598,陕西,宝鸡,天猫,天猫平台
2025-04-14,惠普,显示器,X27q,15,1781,26715,河南,郑州,拼多多,拼多多平台
2025-04-14,华为,平板,MatePad 11,15,2613,39195,河南,新乡,京东,京东平台
2025-04-14,vivo,耳机,TWS 3,12,630,7560,山东,潍坊,电器城,潍坊电器城
2025-04-15,三星,平板,Tab A9,13,2854,37102,江苏,无锡,电器城,无锡电器城
2025-04-15,索尼,手机,Xperia 5 V,12,6704,80448,湖北,武汉,京东,京东平台
2025-04-15,华为,手机,Mate 60,10,6500,65000,浙江,宁波,天猫,天猫平台
2025-04-16,小米,手表,Redmi Watch 4,3,620,1860,重庆,重庆市,京东,京东平台
2025-04-16,OPPO,手机,Reno 11,5,3416,17080,浙江,嘉兴,电器城,嘉兴OPPO专卖店
2025-04-16,小米,耳机,Xiaomi Buds 3,9,671,6039,浙江,嘉兴,京东,京东平台
2025-04-16,OPPO,耳机,Enco X2,5,1055,5275,上海,上海市,品牌官网,品牌官网平台
2025-04-16,索尼,手机,Xperia 1 V,12,9049,108588,河南,新乡,线下专卖店,新乡电器城
2025-04-17,华为,平板,MatePad Pro,12,4533,54396,山东,青岛,电器城,青岛电器城
2025-04-17,联想,笔记本,拯救者Y9000P,9,10442,93978,浙江,嘉兴,电器城,嘉兴电器城
2025-04-18,荣耀,平板,Pad 9,13,2563,33319,广东,广州,电器城,广州荣耀专卖店
2025-04-18,苹果,笔记本,MacBook Air M2,12,8255,99060,湖北,宜昌,天猫,天猫平台
2025-04-18,荣耀,平板,Pad X9,11,1440,15840,浙江,嘉兴,品牌官网,品牌官网平台
2025-04-19,联想,平板,Yoga Tab 13,2,4031,8062,湖北,襄阳,拼多多,拼多多平台
2025-04-19,小米,手机,Xiaomi 14,8,4752,38016,河北,保定,拼多多,拼多多平台
2025-04-20,荣耀,手机,90 GT,2,2874,5748,福建,泉州,线下专卖店,泉州荣耀专卖店
2025-04-20,索尼,耳机,WH-1000XM5,9,1999,17991,湖北,襄阳,电器城,襄阳电器城
2025-04-20,戴尔,笔记本,Alienware m16,12,15648,187776,山东,潍坊,拼多多,拼多多平台
2025-04-21,索尼,耳机,WH-1000XM5,2,1999,3998,北京,北京市,京东,京东平台
2025-04-22,OPPO,手表,Watch 4 Pro,9,2438,21942,广东,佛山,天猫,天猫平台
2025-04-22,小米,手表,Xiaomi Watch S3,12,1082,12984,北京,北京市,拼多多,拼多多平台
2025-04-23,华为,笔记本,MateBook 14,5,6216,31080,河北,唐山,京东,京东平台
2025-04-24,华为,平板,MatePad 11,8,3475,27800,山东,济南,拼多多,拼多多平台
2025-04-24,苹果,平板,iPad Pro 11,3,7826,23478,北京,北京市,拼多多,拼多多平台
2025-04-25,三星,手机,Galaxy Z Flip5,7,9843,68901,辽宁,沈阳,线下专卖店,沈阳三星专卖店
2025-04-25,小米,平板,Xiaomi Pad 6,8,2099,16792,江苏,南京,线下专卖店,南京小米专卖店
2025-04-25,联想,平板,Yoga Tab 13,14,4634,64876,浙江,宁波,拼多多,拼多多平台
2025-04-25,华为,耳机,FreeBuds 5,3,899,2697,广东,佛山,线下专卖店,佛山电器城
2025-04-26,三星,手机,Galaxy Z Flip5,14,9708,135912,辽宁,大连,品牌官网,品牌官网平台
2025-04-26,华为,耳机,FreeBuds 5,3,899,2697,浙江,温州,品牌官网,品牌官网平台
2025-04-26,vivo,手机,Y100,5,1851,9255,广东,佛山,拼多多,拼多多平台
2025-04-26,联想,平板,小新Pad Pro,4,2845,11380,湖南,常德,电器城,常德联想专卖店
2025-04-27,华为,笔记本,MateBook 14,1,6725,6725,上海,上海市,天猫,天猫平台
2025-04-28,荣耀,手表,Watch 4,2,1279,2558,江苏,南京,京东,京东平台
2025-04-28,索尼,耳机,LinkBuds S,13,1099,14287,江苏,南京,线下专卖店,南京电器城
2025-04-29,华为,手表,Watch GT 4,1,2368,2368,上海,上海市,线下专卖店,上海市华为专卖店
2025-04-29,华为,手表,Watch GT 4,1,1566,1566,北京,北京市,电器城,北京市电器城
2025-04-29,华为,手表,Watch Ultimate,2,6134,12268,湖北,宜昌,品牌官网,品牌官网平台
2025-04-29,vivo,手机,S18,2,2861,5722,陕西,西安,天猫,天猫平台
2025-04-29,荣耀,笔记本,MagicBook Pro 16,11,7412,81532,辽宁,沈阳,拼多多,拼多多平台
2025-04-29,苹果,手机,iPhone 15 Pro,9,11871,106839,四川,成都,天猫,天猫平台
2025-04-30,索尼,耳机,LinkBuds S,7,1099,7693,河北,石家庄,京东,京东平台
2025-05-01,荣耀,平板,Pad 9,3,2211,6633,浙江,嘉兴,天猫,天猫平台
2025-05-01,OPPO,手表,Watch 4 Pro,3,2083,6249,北京,北京市,拼多多,拼多多平台
2025-05-01,戴尔,笔记本,Alienware m16,12,19293,231516,山东,济南,品牌官网,品牌官网平台
2025-05-01,华为,耳机,FreeBuds Pro 3,6,1199,7194,重庆,重庆市,电器城,重庆市电器城
2025-05-02,OPPO,手表,Watch 4 Pro,7,2190,15330,河南,洛阳,线下专卖店,洛阳OPPO专卖店
2025-05-02,vivo,耳机,TWS 3,4,612,2448,陕西,西安,电器城,西安vivo专卖店
2025-05-02,三星,手表,Galaxy Watch 6,12,2790,33480,上海,上海市,品牌官网,品牌官网平台
2025-05-02,三星,平板,Tab A9,4,2290,9160,湖南,株洲,天猫,天猫平台
2025-05-02,惠普,笔记本,暗影精灵9,15,7675,115125,广东,佛山,拼多多,拼多多平台
2025-05-05,索尼,手机,Xperia 5 V,4,6560,26240,山东,潍坊,天猫,天猫平台
2025-05-05,荣耀,手机,X50,7,1677,11739,浙江,宁波,线下专卖店,宁波电器城
2025-05-05,苹果,耳机,AirPods Pro 2,10,1899,18990,重庆,重庆市,线下专卖店,重庆市电器城
2025-05-05,小米,手表,Xiaomi Watch S3,2,889,1778,山东,青岛,天猫,天猫平台
2025-05-06,联想,平板,Yoga Tab 13,13,4582,59566,北京,北京市,京东,京东平台
2025-05-06,vivo,耳机,TWS Air,6,233,1398,江苏,常州,品牌官网,品牌官网平台
2025-05-07,联想,笔记本,ThinkPad X1 Carbon,7,10536,73752,湖北,武汉,品牌官网,品牌官网平台
2025-05-07,三星,耳机,Galaxy Buds2 Pro,10,1299,12990,广东,东莞,电器城,东莞电器城
2025-05-07,三星,手表,Galaxy Watch 6,2,2678,5356,安徽,芜湖,拼多多,拼多多平台
2025-05-07,苹果,手机,iPhone 14,5,6873,34365,福建,厦门,拼多多,拼多多平台
2025-05-07,戴尔,显示器,UltraSharp 27,3,3293,9879,辽宁,沈阳,京东,京东平台
2025-05-08,联想,笔记本,拯救者Y9000P,3,9995,29985,重庆,重庆市,京东,京东平台
2025-05-08,三星,手机,Galaxy Z Flip5,3,7665,22995,河南,郑州,品牌官网,品牌官网平台
2025-05-09,OPPO,耳机,Enco Air3,11,374,4114,上海,上海市,线下专卖店,上海市OPPO专卖店
2025-05-09,OPPO,手机,Find X7 Ultra,10,6432,64320,湖南,株洲,品牌官网,品牌官网平台
2025-05-09,惠普,显示器,X27q,12,1986,23832,江苏,苏州,电器城,苏州电器城
2025-05-10,小米,耳机,Xiaomi Buds 3,13,645,8385,湖南,长沙,品牌官网,品牌官网平台
2025-05-10,苹果,平板,iPad Air,5,6166,30830,湖北,襄阳,拼多多,拼多多平台
2025-05-10,戴尔,显示器,S2721QS,5,2314,11570,辽宁,大连,线下专卖店,大连戴尔专卖店
2025-05-10,联想,笔记本,ThinkPad X1 Carbon,5,11653,58265,重庆,重庆市,京东,京东平台
2025-05-11,联想,平板,小新Pad Pro,3,2650,7950,湖南,长沙,天猫,天猫平台
2025-05-11,戴尔,显示器,UltraSharp 27,14,3415,47810,江苏,南京,拼多多,拼多多平台
2025-05-11,荣耀,平板,Pad X9,9,1388,12492,河北,保定,京东,京东平台
2025-05-11,OPPO,耳机,Enco X2,1,905,905,江苏,无锡,京东,京东平台
2025-05-11,联想,笔记本,拯救者Y9000P,1,11850,11850,浙江,宁波,电器城,宁波联想专卖店
2025-05-13,荣耀,笔记本,MagicBook X 14,3,4740,14220,河北,石家庄,电器城,石家庄荣耀专卖店
2025-05-13,索尼,手机,Xperia 1 V,4,8143,32572,河南,新乡,电器城,新乡电器城
2025-05-13,苹果,平板,iPad Air,10,5133,51330,上海,上海市,京东,京东平台
2025-05-14,华为,笔记本,MateBook 14,8,7465,59720,陕西,宝鸡,品牌官网,品牌官网平台
2025-05-14,惠普,笔记本,Envy 16,15,8212,123180,重庆,重庆市,线下专卖店,重庆市电器城
2025-05-14,惠普,显示器,E27u G5,3,2772,8316,湖北,襄阳,电器城,襄阳惠普专卖店
2025-05-14,小米,平板,Redmi Pad,6,1443,8658,河北,唐山,京东,京东平台
2025-05-14,OPPO,手机,Find X7 Ultra,7,7727,54089,广东,深圳,电器城,深圳电器城
2025-05-14,荣耀,手机,X50,12,1841,22092,湖南,长沙,天猫,天猫平台
2025-05-16,荣耀,手表,Band 7,8,333,2664,湖南,长沙,电器城,长沙荣耀专卖店
2025-05-16,华为,平板,MatePad Pro,4,4304,17216,重庆,重庆市,电器城,重庆市华为专卖店
2025-05-16,OPPO,手机,A3,11,1726,18986,广东,珠海,天猫,天猫平台
2025-05-16,苹果,笔记本,MacBook Air M2,10,10766,107660,辽宁,沈阳,电器城,沈阳苹果专卖店
2025-05-16,vivo,手机,X100 Pro,10,6218,62180,重庆,重庆市,电器城,重庆市电器城
2025-05-16,索尼,耳机,LinkBuds S,10,1099,10990,北京,北京市,拼多多,拼多多平台
2025-05-16,三星,耳机,Galaxy Buds2 Pro,12,1299,15588,湖北,宜昌,品牌官网,品牌官网平台
2025-05-17,华为,平板,MatePad 11,13,2904,37752,湖北,宜昌,线下专卖店,宜昌电器城
2025-05-17,荣耀,手机,X50,14,1611,22554,重庆,重庆市,线下专卖店,重庆市电器城
2025-05-17,惠普,笔记本,暗影精灵9,1,8054,8054,四川,绵阳,京东,京东平台
2025-05-17,联想,笔记本,小新Pro 16,14,6713,93982,辽宁,大连,天猫,天猫平台
2025-05-19,华为,平板,MatePad 11,14,2654,37156,北京,北京市,天猫,天猫平台
2025-05-19,小米,手机,Xiaomi 14,12,4506,54072,湖北,宜昌,线下专卖店,宜昌电器城
2025-05-19,荣耀,手表,Band 7,3,348,1044,山东,青岛,品牌官网,品牌官网平台
2025-05-20,OPPO,耳机,Enco Air3,14,390,5460,陕西,西安,京东,京东平台
2025-05-21,联想,笔记本,拯救者Y9000P,9,10134,91206,河南,新乡,品牌官网,品牌官网平台
2025-05-23,索尼,耳机,LinkBuds S,8,1099,8792,重庆,重庆市,拼多多,拼多多平台
2025-05-23,vivo,耳机,TWS Air,14,266,3724,北京,北京市,电器城,北京市电器城
2025-05-23,vivo,手机,X100 Pro,3,6849,20547,安徽,芜湖,拼多多,拼多多平台
2025-05-24,小米,手机,Xiaomi 13T,5,3277,16385,四川,成都,线下专卖店,成都小米专卖店
2025-05-24,华为,耳机,FreeBuds Pro 3,8,1199,9592,河北,石家庄,拼多多,拼多多平台
2025-05-24,联想,笔记本,拯救者Y9000P,8,10271,82168,北京,北京市,拼多多,拼多多平台
2025-05-24,小米,笔记本,Xiaomi Book Pro 16,12,7939,95268,陕西,西安,品牌官网,品牌官网平台
2025-05-24,OPPO,手机,Find X7 Ultra,8,7198,57584,江苏,苏州,京东,京东平台
2025-05-25,索尼,手机,Xperia 1 V,11,9732,107052,安徽,芜湖,电器城,芜湖电器城
2025-05-25,vivo,手机,X100 Pro,8,5028,40224,山东,潍坊,线下专卖店,潍坊vivo专卖店
2025-05-25,惠普,显示器,X27q,11,1908,20988,陕西,西安,线下专卖店,西安惠普专卖店
2025-05-26,OPPO,耳机,Enco Air3,5,319,1595,重庆,重庆市,品牌官网,品牌官网平台
2025-05-26,三星,耳机,Buds FE,11,699,7689,湖南,株洲,品牌官网,品牌官网平台
2025-05-26,苹果,耳机,AirPods 3,12,1399,16788,浙江,嘉兴,电器城,嘉兴电器城
2025-05-26,vivo,耳机,TWS Air,6,224,1344,北京,北京市,天猫,天猫平台
2025-05-27,惠普,显示器,E27u G5,14,2215,31010,四川,成都,电器城,成都电器城
2025-05-27,惠普,显示器,E27u G5,13,2022,26286,福建,福州,京东,京东平台
2025-05-27,OPPO,手机,Reno 11,15,3164,47460,重庆,重庆市,天猫,天猫平台
2025-05-28,华为,平板,MatePad 11,11,3000,33000,浙江,嘉兴,京东,京东平台
2025-05-28,OPPO,手机,Find X7 Ultra,2,6120,12240,广东,广州,拼多多,拼多多平台
2025-05-29,三星,手机,Galaxy S24,10,6430,64300,北京,北京市,品牌官网,品牌官网平台
2025-05-29,vivo,手机,X100 Pro,10,5534,55340,河南,新乡,京东,京东平台
2025-05-30,三星,耳机,Buds FE,15,699,10485,安徽,合肥,电器城,合肥三星专卖店
2025-05-30,三星,手机,Galaxy S24,11,7536,82896,重庆,重庆市,线下专卖店,重庆市电器城
2025-05-30,惠普,笔记本,Envy 16,1,8448,8448,上海,上海市,京东,京东平台
2025-05-30,苹果,耳机,AirPods Pro 2,3,1899,5697,北京,北京市,线下专卖店,北京市苹果专卖店
2025-05-31,vivo,耳机,TWS 3,7,538,3766,福建,福州,天猫,天猫平台
2025-05-31,索尼,手机,Xperia 1 V,12,9320,111840,上海,上海市,拼多多,拼多多平台
2025-06-01,华为,平板,MatePad Pro,4,4591,18364,山东,潍坊,京东,京东平台
2025-06-01,OPPO,手表,Watch 4 Pro,5,2310,11550,上海,上海市,线下专卖店,上海市电器城
2025-06-01,三星,平板,Galaxy Tab S9,13,5033,65429,重庆,重庆市,品牌官网,品牌官网平台
2025-06-02,小米,平板,Redmi Pad,14,1224,17136,广东,深圳,电器城,深圳电器城
2025-06-02,惠普,笔记本,暗影精灵9,14,7664,107296,湖南,株洲,电器城,株洲电器城
2025-06-02,联想,平板,小新Pad Pro,6,2407,14442,四川,绵阳,天猫,天猫平台
2025-06-04,OPPO,耳机,Enco Air3,1,327,327,湖北,宜昌,京东,京东平台
2025-06-04,华为,手机,P60 Pro,4,6024,24096,浙江,杭州,拼多多,拼多多平台
2025-06-04,华为,手表,Watch Ultimate,7,7927,55489,四川,成都,品牌官网,品牌官网平台
2025-06-04,联想,笔记本,拯救者Y9000P,8,12948,103584,辽宁,大连,电器城,大连电器城
2025-06-05,联想,平板,小新Pad Pro,10,2464,24640,河南,新乡,电器城,新乡联想专卖店
2025-06-05,vivo,手机,X100 Pro,13,5249,68237,山东,青岛,京东,京东平台
2025-06-06,vivo,手机,X100 Pro,14,5313,74382,湖北,宜昌,品牌官网,品牌官网平台
2025-06-06,OPPO,耳机,Enco X2,8,1062,8496,辽宁,沈阳,线下专卖店,沈阳OPPO专卖店
2025-06-07,vivo,手机,Y100,7,1948,13636,上海,上海市,天猫,天猫平台
2025-06-07,华为,平板,MatePad 11,11,2758,30338,辽宁,沈阳,拼多多,拼多多平台
2025-06-07,索尼,耳机,WF-1000XM5,6,1599,9594,河南,郑州,天猫,天猫平台
2025-06-07,苹果,平板,iPad Pro 11,9,8055,72495,安徽,合肥,京东,京东平台
2025-06-07,联想,笔记本,小新Pro 16,8,5226,41808,江苏,苏州,拼多多,拼多多平台
2025-06-08,联想,笔记本,小新Pro 16,11,6991,76901,安徽,芜湖,线下专卖店,芜湖电器城
2025-06-09,vivo,耳机,TWS 3,10,696,6960,浙江,嘉兴,电器城,嘉兴vivo专卖店
2025-06-09,华为,手表,Watch Ultimate,10,7220,72200,湖南,衡阳,电器城,衡阳电器城
2025-06-10,惠普,笔记本,Envy 16,10,10866,108660,陕西,西安,品牌官网,品牌官网平台
2025-06-10,三星,手机,Galaxy S24,5,7610,38050,重庆,重庆市,天猫,天猫平台
2025-06-10,华为,笔记本,MateBook X Pro,2,11355,22710,广东,广州,线下专卖店,广州华为专卖店
2025-06-10,华为,笔记本,MateBook X Pro,13,10718,139334,江苏,无锡,拼多多,拼多多平台
2025-06-11,戴尔,显示器,UltraSharp 27,11,3510,38610,陕西,宝鸡,天猫,天猫平台
2025-06-11,华为,平板,MatePad 11,7,3091,21637,江苏,无锡,京东,京东平台
2025-06-12,荣耀,手机,X50,5,1823,9115,山东,济南,天猫,天猫平台
2025-06-12,惠普,笔记本,Spectre x360,4,11561,46244,辽宁,沈阳,天猫,天猫平台
2025-06-12,vivo,耳机,TWS 3,12,518,6216,福建,厦门,京东,京东平台
2025-06-13,索尼,耳机,WF-1000XM5,10,1599,15990,四川,成都,线下专卖店,成都电器城
2025-06-14,三星,耳机,Galaxy Buds2 Pro,12,1299,15588,陕西,宝鸡,天猫,天猫平台
2025-06-15,戴尔,显示器,UltraSharp 27,14,3769,52766,辽宁,沈阳,线下专卖店,沈阳电器城
2025-06-15,OPPO,手机,Reno 11,3,3765,11295,上海,上海市,拼多多,拼多多平台
2025-06-15,惠普,笔记本,Spectre x360,11,9781,107591,辽宁,大连,拼多多,拼多多平台
2025-06-16,小米,手机,Redmi K70,1,2891,2891,河北,保定,电器城,保定电器城
2025-06-16,惠普,笔记本,暗影精灵9,7,7058,49406,河北,保定,天猫,天猫平台
2025-06-16,vivo,手机,Y100,3,1744,5232,重庆,重庆市,京东,京东平台
2025-06-17,戴尔,笔记本,Alienware m16,5,14667,73335,陕西,宝鸡,品牌官网,品牌官网平台
2025-06-17,苹果,手机,iPhone 14,5,5295,26475,北京,北京市,线下专卖店,北京市电器城
2025-06-18,索尼,手机,Xperia 5 V,5,6402,32010,湖北,襄阳,电器城,襄阳索尼专卖店
2025-06-18,惠普,显示器,X27q,6,1710,10260,辽宁,沈阳,电器城,沈阳电器城
2025-06-19,华为,笔记本,MateBook X Pro,2,10029,20058,福建,福州,拼多多,拼多多平台
2025-06-19,vivo,手机,Y100,11,1786,19646,四川,成都,京东,京东平台
2025-06-19,索尼,手机,Xperia 5 V,12,6438,77256,北京,北京市,京东,京东平台
2025-06-20,苹果,平板,iPad Air,4,5523,22092,湖南,长沙,线下专卖店,长沙电器城
2025-06-20,华为,手表,Watch Ultimate,11,7207,79277,浙江,杭州,京东,京东平台
2025-06-21,vivo,耳机,TWS Air,8,235,1880,陕西,西安,线下专卖店,西安电器城
2025-06-21,联想,平板,小新Pad Pro,6,3290,19740,湖北,武汉,电器城,武汉联想专卖店
2025-06-21,OPPO,手表,Watch 4 Pro,11,2136,23496,北京,北京市,拼多多,拼多多平台
2025-06-21,苹果,平板,iPad Pro 11,1,7165,7165,河北,保定,拼多多,拼多多平台
2025-06-22,OPPO,手机,A3,1,1695,1695,湖北,宜昌,电器城,宜昌电器城
2025-06-23,vivo,手机,Y100,6,1878,11268,福建,泉州,电器城,泉州电器城
2025-06-23,联想,平板,小新Pad Pro,1,3285,3285,江苏,南京,线下专卖店,南京电器城
2025-06-23,小米,平板,Xiaomi Pad 6,6,2090,12540,安徽,蚌埠,京东,京东平台
2025-06-24,小米,手表,Redmi Watch 4,12,549,6588,河北,石家庄,拼多多,拼多多平台
2025-06-24,联想,笔记本,拯救者Y9000P,6,10389,62334,重庆,重庆市,京东,京东平台
2025-06-24,三星,手机,Galaxy S24,10,7947,79470,四川,宜宾,品牌官网,品牌官网平台
2025-06-24,OPPO,耳机,Enco Air3,9,395,3555,四川,宜宾,电器城,宜宾OPPO专卖店
2025-06-24,vivo,手机,X100 Pro,14,6176,86464,湖南,衡阳,京东,京东平台
2025-06-25,三星,手表,Galaxy Watch 6,4,2179,8716,江苏,南京,线下专卖店,南京电器城
2025-06-25,苹果,平板,iPad Pro 11,11,7371,81081,四川,绵阳,拼多多,拼多多平台
2025-06-26,小米,笔记本,Xiaomi Book Pro 16,15,8539,128085,陕西,西安,京东,京东平台
2025-06-26,苹果,平板,iPad Pro 11,12,7338,88056,重庆,重庆市,拼多多,拼多多平台
2025-06-26,戴尔,显示器,UltraSharp 27,15,3708,55620,湖北,武汉,天猫,天猫平台
2025-06-26,OPPO,手机,Reno 11,14,3780,52920,江苏,南京,京东,京东平台
2025-06-26,OPPO,耳机,Enco Air3,2,371,742,上海,上海市,天猫,天猫平台
2025-06-27,戴尔,显示器,UltraSharp 27,12,3168,38016,湖北,宜昌,电器城,宜昌电器城
2025-06-28,小米,平板,Redmi Pad,9,1387,12483,福建,福州,品牌官网,品牌官网平台
2025-06-28,荣耀,笔记本,MagicBook X 14,1,4373,4373,辽宁,大连,电器城,大连电器城
2025-06-28,戴尔,显示器,UltraSharp 27,8,3108,24864,湖北,宜昌,品牌官网,品牌官网平台
2025-06-29,vivo,手机,X100 Pro,2,6858,13716,福建,厦门,天猫,天猫平台
2025-06-29,小米,手机,Xiaomi 13T,6,3646,21876,浙江,杭州,拼多多,拼多多平台
2025-06-29,索尼,耳机,LinkBuds S,13,1099,14287,陕西,宝鸡,拼多多,拼多多平台
2025-06-29,苹果,手机,iPhone 14,12,6148,73776,江苏,苏州,天猫,天猫平台
2025-06-29,vivo,耳机,TWS Air,1,277,277,湖南,常德,拼多多,拼多多平台
2025-06-30,惠普,笔记本,Spectre x360,5,9049,45245,河南,新乡,品牌官网,品牌官网平台
2025-06-30,荣耀,平板,Pad X9,15,1410,21150,陕西,西安,天猫,天猫平台
2025-06-30,三星,平板,Galaxy Tab S9,7,5657,39599,浙江,杭州,品牌官网,品牌官网平台
2025-06-30,索尼,耳机,WH-1000XM5,2,1999,3998,辽宁,沈阳,电器城,沈阳电器城
2025-07-01,华为,耳机,FreeBuds 5,14,899,12586,江苏,无锡,电器城,无锡华为专卖店
2025-07-01,三星,平板,Galaxy Tab S9,7,6257,43799,辽宁,沈阳,拼多多,拼多多平台
2025-07-01,华为,耳机,FreeBuds 5,10,899,8990,湖南,株洲,天猫,天猫平台
2025-07-01,联想,平板,Yoga Tab 13,8,4525,36200,福建,泉州,京东,京东平台
2025-07-02,惠普,笔记本,Spectre x360,11,11913,131043,河南,新乡,电器城,新乡电器城
2025-07-03,OPPO,手机,A3,10,1951,19510,辽宁,大连,线下专卖店,大连OPPO专卖店
2025-07-03,惠普,显示器,E27u G5,7,2739,19173,辽宁,大连,品牌官网,品牌官网平台
2025-07-03,小米,耳机,Xiaomi Buds 3,2,612,1224,河南,郑州,天猫,天猫平台
2025-07-04,小米,平板,Redmi Pad,6,1134,6804,北京,北京市,京东,京东平台
2025-07-04,荣耀,手表,Band 7,6,315,1890,河北,唐山,京东,京东平台
2025-07-04,华为,笔记本,MateBook 14,11,7566,83226,山东,潍坊,拼多多,拼多多平台
2025-07-04,OPPO,手表,Watch 4 Pro,7,2306,16142,江苏,苏州,电器城,苏州电器城
2025-07-04,联想,平板,小新Pad Pro,6,3217,19302,陕西,宝鸡,品牌官网,品牌官网平台
2025-07-04,联想,笔记本,小新Pro 16,4,5299,21196,山东,青岛,拼多多,拼多多平台
2025-07-05,索尼,耳机,WH-1000XM5,8,1999,15992,辽宁,沈阳,拼多多,拼多多平台
2025-07-05,OPPO,耳机,Enco X2,8,910,7280,浙江,杭州,拼多多,拼多多平台
2025-07-05,小米,平板,Xiaomi Pad 6,15,2547,38205,福建,泉州,拼多多,拼多多平台
2025-07-06,惠普,显示器,E27u G5,1,2642,2642,辽宁,沈阳,线下专卖店,沈阳惠普专卖店
2025-07-07,vivo,手机,X100 Pro,15,6702,100530,陕西,西安,拼多多,拼多多平台
2025-07-07,vivo,耳机,TWS Air,9,226,2034,河北,唐山,电器城,唐山vivo专卖店
2025-07-07,OPPO,耳机,Enco X2,4,998,3992,陕西,宝鸡,品牌官网,品牌官网平台
2025-07-08,三星,耳机,Galaxy Buds2 Pro,4,1299,5196,上海,上海市,京东,京东平台
2025-07-08,OPPO,耳机,Enco Air3,10,317,3170,湖南,常德,品牌官网,品牌官网平台
2025-07-08,vivo,手机,Y100,13,1512,19656,广东,珠海,电器城,珠海电器城
2025-07-09,荣耀,手机,90 GT,8,2691,21528,广东,珠海,京东,京东平台
2025-07-09,华为,耳机,FreeBuds Pro 3,3,1199,3597,重庆,重庆市,品牌官网,品牌官网平台
2025-07-10,荣耀,平板,Pad 9,5,2037,10185,河北,唐山,天猫,天猫平台
2025-07-10,惠普,笔记本,暗影精灵9,1,9098,9098,广东,珠海,电器城,珠海电器城
2025-07-11,OPPO,耳机,Enco X2,8,940,7520,辽宁,沈阳,品牌官网,品牌官网平台
2025-07-11,联想,笔记本,拯救者Y9000P,14,9177,128478,山东,青岛,电器城,青岛电器城
2025-07-11,联想,平板,Yoga Tab 13,9,4912,44208,安徽,芜湖,电器城,芜湖电器城
2025-07-11,荣耀,笔记本,MagicBook Pro 16,3,6124,18372,湖南,长沙,品牌官网,品牌官网平台
2025-07-11,联想,笔记本,拯救者Y9000P,14,10369,145166,河北,唐山,京东,京东平台
2025-07-11,OPPO,手表,Watch 4 Pro,2,2257,4514,上海,上海市,天猫,天猫平台
2025-07-12,荣耀,笔记本,MagicBook X 14,5,4552,22760,辽宁,沈阳,天猫,天猫平台
2025-07-13,三星,手表,Galaxy Watch 6,5,2710,13550,北京,北京市,线下专卖店,北京市三星专卖店
2025-07-13,三星,手机,Galaxy S24,6,7053,42318,广东,东莞,拼多多,拼多多平台
2025-07-13,OPPO,手表,Watch 4 Pro,8,2414,19312,陕西,宝鸡,电器城,宝鸡电器城
2025-07-13,苹果,耳机,AirPods 3,1,1399,1399,重庆,重庆市,线下专卖店,重庆市苹果专卖店
2025-07-13,华为,笔记本,MateBook 14,8,7361,58888,重庆,重庆市,拼多多,拼多多平台
2025-07-14,小米,手机,Xiaomi 14,13,4319,56147,湖南,株洲,电器城,株洲电器城
2025-07-15,荣耀,手表,Band 7,9,346,3114,湖南,衡阳,品牌官网,品牌官网平台
2025-07-15,索尼,手机,Xperia 1 V,4,9357,37428,安徽,蚌埠,天猫,天猫平台
